2a stage2 分組	組員1	組員2	組員3	組員4
stage2-ag1	40823108	40823145	40823109	40823112
stage2-ag2	40623121	40823151	40871106	40823132
stage2-ag3	40623234	40423113	40823126	40823128
stage2 ag4	40823101	40823104	40823119	40823150
stage2-ag5	40823102	40823106	40823121	40823135
stage2-ag6	40823111	40823120	40823124	40823139
stage2-ag7	40823129	40823149	40823117	40823122
stage2-ag8	40523252	40823154	40823103	40823107
stage2-ag9	40823115	40823140	40823114	40823146
stage2-ag10	40823142	40823144	40823127	40823148
stage2-ag11	40823116	40823123	40823131	40823136
stage2-ag12	40823152	40823153	40823125	40823110
