2b stage2 分組	組員1	組員2	組員3	組員4
stage2-bg1	40823245	40823251	40823246	40823208
stage2-bg2	40823213	40823232	40823234	40823235
stage2-bg3	40823206	40823207	40823223	40823224
stage2-bg4	40723215	40723128	40723140	40723135
stage2-bg5	40823227	40823241	40723233	40723141
stage2-bg6	40823214	40823225	40823247	40823248
stage2-bg7	40823211	40823216	40823218	40823238
stage2-bg8	40623144	40723224	40423155	40823233
stage2-bg9	40823219	40823231	40823212	40823236
stage2-bg10	40823202	40823203	40823222	40823244
stage2-bg11	40823217	40823201	40823209	40823210
stage2-bg12	40823237	40823221	40823250	40832244
stage2-bg13	40723106	40723139	40723143	40823239
stage2-bg14	40823228	40823242	40823204	40823220
